Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,0.1uF,C_0805_2012Metric,138.608,-79.68,90,top
C2,4.7uF,C_0805_2012Metric,145.72,-84.506,90,top
C3,0.1uF,C_0805_2012Metric,127.305,-76.632,270,top
C4,4.7uF,C_0805_2012Metric,138.735,-84.506,270,top
C5,10uF,C_0805_2012Metric,127.94,-90.475,180,top
C6,10uF,C_0805_2012Metric,136.576,-90.475,180,top
D1,LED,LED_0805_2012Metric,122.86,-74.092,90,top
J1,USB_B_Micro,USB_Micro-B_Molex_47346-0001,144.831,-76.632,90,top
Q1,IRLML6344TRPBF,SOT-23,116.51,-64.66,90,top
Q2,IRLML6344TRPBF,SOT-23,116.51,-74.82,90,top
Q3,IRLML6344TRPBF,SOT-23,116.51,-84.98,90,top
Q4,IRLML6344TRPBF,SOT-23,116.51,-95.14,90,top
R1,10K,R_0805_2012Metric,129.21,-65.71,0,top
R2,10K,R_0805_2012Metric,133.02,-72.568,0,top
R3,1K,R_0805_2012Metric,122.86,-70.282,90,top
R4,4.7K,R_0805_2012Metric,141.3235,-58.09,0,top
R5,4.7K,R_0805_2012Metric,136.9085,-58.09,180,top
R6,10K,R_0805_2012Metric,136.576,-72.568,0,top
R7,100,R_0805_2012Metric,119.685,-61.9,270,top
R8,100,R_0805_2012Metric,119.685,-72.06,270,top
R9,100,R_0805_2012Metric,119.685,-82.22,270,top
R10,100,R_0805_2012Metric,119.685,-92.38,270,top
R11,10K,R_0805_2012Metric,116.51,-60.63,0,top
R12,10K,R_0805_2012Metric,116.51,-70.79,0,top
R13,10K,R_0805_2012Metric,116.51,-80.95,0,top
R14,10K,R_0805_2012Metric,116.51,-91.11,0,top
R16,10K,R_0805_2012Metric,123.495,-90.475,0,top
R17,10K,R_0805_2012Metric,132.385,-90.475,0,top
U1,STM32F042F6Px,TSSOP-20_4.4x6.5mm_P0.65mm,132.766,-78.537,270,top
U2,AP2127K-3.3,SOT-23-5,141.91,-84.506,0,top
U3,74LVC1G17,SOT-353_SC-70-5,142.164,-91.872,180,top
